mode,id,question,source_docs,retrieved_doc_paths,recall_at_k,recall_hit_at_k,retrieval_ms,ttft_ms,total_ms,faith_m,rel_m,auto_error_category,answer
fp32_off,Q008,docker_compose.md 中 API 服务的端口映射配置是什么？,E_config/docker_compose.md,E_config/docker_compose.md;E_config/docker_compose_llm_official.md;C_troubleshoot/port_conflict.md;C_troubleshoot/cuda_issues.md;B_deploy/tgi_docker.md;C_troubleshoot/port_conflict.md;C_troubleshoot/model_load_fail.md;D_design/microservices.md;B_deploy/vllm_single_gpu.md;D_design/llm_gateway.md,1.0,1.0,81.951,1988.68,6095.187,5.0,5.0,ok,"In the provided `docker-compose.yaml` file, the API service's port mapping configuration is:

```yaml
services:
  gateway:
    image: nginx:latest
    ports:
      - ""4000:4000""
```

This configuration maps port 4000 on the host machine to port 4000 in the container."
fp32_off,Q009,vLLM Chat Completions 的端点路径是什么？,A_api/vllm_chat_completions.md,A_api/vllm_chat_completions.md;A_api/vllm_completions.md;A_api/tgi_chat.md;E_config/k8s_yaml.md;B_deploy/vllm_k8s_basic.md;A_api/vllm_nodejs_sdk.md;B_deploy/vllm_k8s_basic.md;D_design/inference_performance.md;B_deploy/vllm_k8s_basic.md;E_config/docker_compose.md,1.0,1.0,186.692,1480.932,9049.332,1.0,1.5,factual_drift,"Based on the provided context, I do not have enough information to determine the exact endpoint path of the vLLM Chat Completions API. However, I can infer that the vLLM Chat Completions API is likely a part of the vLLM (vLLM) system, which appears to be a service running on port 8000.

The provided code snippets include a Kubernetes Service definition for the vLLM service, which specifies port 8000. Additionally, there is a command for port forwarding, `kubectl port-forward svc/vllm 8000:8000`, which suggests that the vLL"
fp32_off,Q010,vLLM Completions 的端点路径是什么？,A_api/vllm_completions.md,A_api/vllm_completions.md;A_api/vllm_chat_completions.md;A_api/vllm_nodejs_sdk.md;B_deploy/vllm_k8s_basic.md;E_config/k8s_yaml.md;D_design/inference_performance.md;B_deploy/vllm_k8s_basic.md;B_deploy/vllm_k8s_basic.md;D_design/llm_gateway.md;E_config/docker_compose_llm_official.md,1.0,1.0,278.781,1890.28,9694.04,2.0,3.0,factual_drift,"Based on the provided context, I do not find any explicit information about the endpoint path for vLLM Completions. The context only includes YAML files for Kubernetes services, a command for running the vLLM benchmark, and a brief description of the LLM gateway's responsibilities.

However, the `vLLM Completions API` is mentioned in the context, which suggests that it is a RESTful API that provides completion functionality. Typically, API endpoints are defined in the API specification or in the implementation of the API.

Without further information, I am unable to determine the exact endpoint path for the vLLM Complet"
fp32_off,Q011,vLLM Embeddings 的端点路径是什么？,A_api/vllm_embeddings.md,A_api/vllm_embeddings.md;A_api/vllm_completions.md;A_api/ollama_api_official.md;A_api/vllm_python_sdk.md;D_design/llm_gateway.md;A_api/vllm_nodejs_sdk.md;A_api/vllm_nodejs_sdk.md;A_api/embedding_models.md;B_deploy/vllm_k8s_basic.md;A_api/vllm_chat_completions.md,1.0,1.0,230.116,1291.54,2669.354,0.0,1.0,factual_drift,"According to the provided context, the endpoint path for vLLM Embeddings is `/api/embed`."
fp32_off,Q012,vLLM Models 列表接口的端点路径是什么？,A_api/vllm_models.md,E_config/env_variables.md;D_design/inference_performance.md;A_api/vllm_completions.md;C_troubleshoot/error_codes.md;A_api/vllm_nodejs_sdk.md;B_deploy/vllm_k8s_basic.md;E_config/docker_compose_llm_official.md;A_api/tgi_completions.md;B_deploy/vllm_k8s_basic.md;B_deploy/vllm_single_gpu.md,0.0,0.0,77.862,1631.639,3115.627,6.5,8.5,retrieval_miss,"According to the provided context, the endpoint path for the vLLM Models list interface is `/v1/models`."
fp32_off,Q013,TGI Chat 的端点路径是什么？,A_api/tgi_chat.md,A_api/tgi_chat.md;A_api/tgi_chat.md;B_deploy/vllm_k8s_basic.md;A_api/tgi_completions.md;A_api/tgi_info_metrics.md;B_deploy/vllm_k8s_basic.md;A_api/tgi_info_metrics.md;D_design/llm_gateway.md;D_design/microservices.md;A_api/vllm_chat_completions.md,1.0,1.0,162.909,1437.97,2620.33,6.5,8.0,ok,"Based on the context provided, the endpoint path for TGI Chat is `/v1/chat`."
fp32_off,Q014,TGI Completions 的端点路径是什么？,A_api/tgi_completions.md,A_api/tgi_completions.md;A_api/tgi_chat.md;A_api/vllm_completions.md;A_api/tgi_info_metrics.md;B_deploy/vllm_k8s_basic.md;A_api/tgi_info_metrics.md;D_design/llm_gateway.md;B_deploy/vllm_k8s_basic.md;A_api/tgi_chat.md;B_deploy/cuda_install_official.md,1.0,1.0,81.068,1599.023,8509.824,1.0,1.0,factual_drift,"According to the provided context, it seems that the TGI Completions API is not explicitly mentioned with a specific endpoint path. However, it is mentioned that LLM (Large Language Model) Gateway is an intermediate layer between the client and LLM service, responsible for routing requests, load balancing, authentication, rate limiting, and logging.

Given the context of the Kubernetes setup and the NVIDIA Device Plugin, it's possible that the endpoint path may be related to the LLM Gateway or the Kubernetes service. However, without further information, it's difficult to provide a specific endpoint path.

If you're looking for the endpoint path for the"
fp32_off,Q015,TGI 的 metrics/info 暴露端点路径是什么？,A_api/tgi_info_metrics.md,A_api/tgi_info_metrics.md;A_api/tgi_chat.md;A_api/tgi_completions.md;A_api/tgi_chat.md;B_deploy/vllm_k8s_basic.md;D_design/llm_gateway.md;A_api/tgi_info_metrics.md;E_config/docker_compose_llm_official.md;D_design/microservices.md;E_config/k8s_yaml.md,1.0,1.0,132.469,2449.842,7568.798,0.0,0.0,factual_drift,"According to the provided context, there is no explicit mention of the endpoint path for the TGI metrics/info. However, it is mentioned that the LLM gateway is responsible for handling requests, routing, and other tasks, but it does not provide information about the specific endpoint path for metrics/info.

Therefore, I must answer with ""I don't know"" as the information is not explicitly provided in the context."
fp32_off,Q016,Ollama Chat 的端点路径是什么？,A_api/ollama_chat.md,C_troubleshoot/port_conflict.md;A_api/ollama_nodejs_sdk.md;B_deploy/ollama_macos.md;D_design/inference_performance.md;B_deploy/ollama_windows.md;A_api/ollama_nodejs_sdk.md;B_deploy/ollama_linux.md;B_deploy/ollama_macos.md;A_api/ollama_generate.md;B_deploy/ollama_windows.md,0.0,0.0,144.824,1154.811,9028.65,4.5,6.0,retrieval_miss,"Based on the provided context, it seems that the Ollama Chat's endpoint path is not explicitly mentioned. However, I can try to help you find the answer.

According to the Ollama documentation, the default endpoint path for the Ollama API is `/v1/generate`. You can use this endpoint to generate text based on the input prompts.

Here's an example of how you can use the endpoint in your JavaScript code:
```javascript
const ollama = new Ollama({
  host: 'http://localhost:11434'
});

const params = {
  prompt: 'Hello World',
  max"
fp32_off,Q017,Ollama Generate 的端点路径是什么？,A_api/ollama_generate.md,A_api/ollama_generate.md;A_api/ollama_generate.md;C_troubleshoot/port_conflict.md;A_api/ollama_nodejs_sdk.md;A_api/ollama_nodejs_sdk.md;E_config/docker_compose.md;E_config/docker_compose_llm_official.md;A_api/ollama_python_sdk.md;A_api/ollama_python_sdk.md;B_deploy/ollama_macos.md,1.0,1.0,135.441,1855.725,7041.106,3.5,6.0,factual_drift,"According to the provided context, the Ollama Generate API endpoint path is not explicitly mentioned. However, we can infer that the API endpoint is likely to be `/generate` based on the common convention used in many text-to-text generation APIs.

However, without further information, it is difficult to confirm the exact endpoint path. If you are looking for the official documentation or more information, I recommend checking the Ollama GitHub repository or contacting the Ollama support team for more details."
